strain,carbonSource,plate,medianGrowthRate,medianLagPhase,medianMaxOD600
Day0Anc,alpha-Keto-Glutaric Acid,PM1,0.239982916399802,1.06366666666667,0.35479998599999996
Day0Anc,Bromo Succinic Acid,PM1,0.326463715839232,1.41822222222222,0.179400012
Day0Anc,Citric Acid,PM1,0.267748777629781,1.41822222222222,0.361000001
Day0Anc,"D,L-Malic Acid",PM1,0.407029631383129,1.41822222222222,0.288800001
Day0Anc,Fumaric Acid,PM1,0.398045899343169,1.41822222222222,0.27610001
Day0Anc,L-Asparagine,PM1,0.354545903812337,1.24094444444444,0.370700017
Day0Anc,L-Aspartic Acid,PM1,0.23936898020198,1.06366666666667,0.33589999400000004
Day0Anc,L-Glutamic Acid,PM1,0.256836821490051,1.06366666666667,0.366200015
Day0Anc,L-Glutamine,PM1,0.291982833665738,1.24094444444444,0.42970000199999997
Day0Anc,L-Proline,PM1,0.244420624720026,1.06366666666667,0.491599977
Day0Anc,Pyruvic Acid,PM1,0.215360522727314,1.06366666666667,0.20260000299999997
Day0Anc,Succinic Acid,PM1,0.38753849793728,1.24094444444444,0.29999998299999997
Day0Anc,Tween 40,PM1,0.359184230134307,1.24094444444444,0.414399981
Day0Anc,Tween 80,PM1,0.334789400663025,1.41822222222222,0.42260000099999995
Day20C2,alpha-Keto-Glutaric Acid,PM1,0.201248107293117,0.886388888888889,0.27899999899999994
Day20C2,Bromo Succinic Acid,PM1,0.252087892428804,0.886388888888889,0.202600003
Day20C2,Citric Acid,PM1,0.356867028642824,2.65916666666667,0.25769999600000004
Day20C2,"D,L-Malic Acid",PM1,0.302789731152637,1.24094444444444,0.253099992
Day20C2,Fumaric Acid,PM1,0.344363458485961,0.709111111111111,0.16140000499999999
Day20C2,L-Asparagine,PM1,0.250917389561897,1.06366666666667,0.27139999
Day20C2,L-Aspartic Acid,PM1,0.398708007135628,0.886388888888889,0.248699993
Day20C2,L-Glutamic Acid,PM1,0.298619691252481,2.65916666666667,0.312799991
Day20C2,L-Glutamine,PM1,0.180125369200698,1.06366666666667,0.347000003
Day20C2,L-Proline,PM1,0.216781683277317,1.24094444444444,0.32769998899999997
Day20C2,Pyruvic Acid,PM1,0.288593894993549,2.48188888888889,0.32760000200000006
Day20C2,Succinic Acid,PM1,0.348438581137693,1.06366666666667,0.226099983
Day20C2,Tween 40,PM1,0.219314118672115,1.24094444444444,0.185400009
Day20C2,Tween 80,PM1,0.26527001551038,1.06366666666667,0.18349999200000003
Day20F4,alpha-Keto-Glutaric Acid,PM1,0.232233974854078,0.886388888888889,0.24599999899999997
Day20F4,Bromo Succinic Acid,PM1,0.125936619433118,0.886388888888889,0.167300001
Day20F4,Citric Acid,PM1,0.182466504446734,0.886388888888889,0.21230000300000001
Day20F4,"D,L-Malic Acid",PM1,0.166934713493767,1.06366666666667,0.174200006
Day20F4,Fumaric Acid,PM1,0.231197454054746,0.886388888888889,0.18360000099999996
Day20F4,L-Asparagine,PM1,0.156689186247881,0.709111111111111,0.28550000500000006
Day20F4,L-Aspartic Acid,PM1,0.1763162195277,0.886388888888889,0.237199985
Day20F4,L-Glutamic Acid,PM1,0.19064300372662,1.24094444444444,0.24289998399999999
Day20F4,L-Glutamine,PM1,0.214096394702316,4.7865,0.391399979
Day20F4,L-Proline,PM1,0.284787382964254,31.0236111111111,0.449499979
Day20F4,Pyruvic Acid,PM1,0.121539697038546,0.886388888888889,0.24270001
Day20F4,Succinic Acid,PM1,0.160288554291054,0.886388888888889,0.20259999499999998
Day20F4,Tween 40,PM1,0.118903237142685,0.886388888888889,0.13909998599999998
Day20F4,Tween 80,PM1,0.0935818704859997,0.709111111111111,0.15510001799999998
Day20P1,alpha-Keto-Glutaric Acid,PM1,0.198272612012662,3.54555555555556,0.240500003
Day20P1,Bromo Succinic Acid,PM1,0.0235334072134079,26.2371111111111,0.15600000999999997
Day20P1,Citric Acid,PM1,0.176744716416729,4.43194444444445,0.293300003
Day20P1,"D,L-Malic Acid",PM1,0.141949343208364,4.96377777777778,0.195700004
Day20P1,Fumaric Acid,PM1,0.136567737116268,5.85016666666667,0.22989999499999997
Day20P1,L-Asparagine,PM1,0.135998220645419,4.25466666666667,0.235599995
Day20P1,L-Aspartic Acid,PM1,0.114386170453247,4.25466666666667,0.194700002
Day20P1,L-Glutamic Acid,PM1,0.0938151545386365,3.36827777777778,0.241400004
Day20P1,L-Glutamine,PM1,0.122543184147597,3.01372222222222,0.234199986
Day20P1,L-Proline,PM1,0.184364614393085,2.48188888888889,0.31849998999999996
Day20P1,Pyruvic Acid,PM1,0.109955191271296,31.0236111111111,0.253099993
Day20P1,Succinic Acid,PM1,0.18368735756913,3.36827777777778,0.183900006
Day20P1,Tween 40,PM1,0.0373830784953087,1.95005555555556,0.19510001000000002
Day20P1,Tween 80,PM1,0.137901924972606,23.7552222222222,0.22699999000000004
Day20T3,alpha-Keto-Glutaric Acid,PM1,0.179278805430759,1.24094444444444,0.262100011
Day20T3,Bromo Succinic Acid,PM1,0.271508545019039,1.41822222222222,0.145400003
Day20T3,Citric Acid,PM1,0.180638176549846,1.77277777777778,0.304900006
Day20T3,"D,L-Malic Acid",PM1,0.311136183880498,1.24094444444444,0.22839999200000002
Day20T3,Fumaric Acid,PM1,0.285384248894849,1.77277777777778,0.213499993
Day20T3,L-Asparagine,PM1,0.228519747565962,1.06366666666667,0.31219999499999995
Day20T3,L-Aspartic Acid,PM1,0.122367113248136,0.886388888888889,0.24830000100000002
Day20T3,L-Glutamic Acid,PM1,0.198301288409413,1.06366666666667,0.312600002
Day20T3,L-Glutamine,PM1,0.208887382948012,1.06366666666667,0.37560002499999995
Day20T3,L-Proline,PM1,0.152201969110127,1.06366666666667,0.456300006
Day20T3,Pyruvic Acid,PM1,0.135517036578311,1.06366666666667,0.25150001
Day20T3,Succinic Acid,PM1,0.285879081659941,1.24094444444444,0.24499998999999997
Day20T3,Tween 40,PM1,0.306923038578241,1.77277777777778,0.33419999499999997
Day20T3,Tween 80,PM1,0.290879446182361,1.95005555555556,0.33430001200000004
